Video ID,View Count,Like Count,Comment Count,Favorite Count,Video Category,Video Published At
EVALplCJP6I,7647,99,46,0,24,2024-11-22T08:15:06Z
ARTRZdWemSI,126753,780,0,0,1,2024-11-22T08:11:18Z
RAbkUWRt6Lw,96877,1504,136,0,25,2024-11-22T08:04:55Z
uB5pZWEL59I,73613,13382,260,0,20,2024-11-22T08:01:00Z
lte8VmqBjU0,520591,23451,892,0,20,2024-11-22T08:00:38Z
AV27OntxTNI,584826,50713,2811,0,15,2024-11-22T08:00:11Z
9Ugi7yxGmXY,85956,4545,530,0,22,2024-11-22T08:00:33Z
GG5Jl0X_gZo,18043,826,13,0,24,2024-11-22T08:00:18Z
Q9ipjz8bIxU,231998,3581,550,0,25,2024-11-22T08:00:27Z
zks4OPmdYVk,71696,1719,135,0,10,2024-11-22T08:00:18Z
yOK0b3AyFD0,460893,22432,0,0,22,2024-11-22T07:57:20Z
GXTgjxiQgZY,260456,5460,249,0,17,2024-11-22T07:54:01Z
Hek7tA8-wCo,228962,9546,136,0,22,2024-11-22T07:49:21Z
xXjgJp4X-mU,10126,951,248,0,20,2024-11-22T07:30:19Z
bdgvAUF1yrI,762000,54833,4704,0,22,2024-11-22T07:30:10Z
35YS-NsS1f0,58108,636,0,0,10,2024-11-22T07:28:34Z
CAk9Cl6urzQ,1505035,8546,83,0,17,2024-11-22T07:17:29Z
2vXyqGmM4cU,239858,28886,48,0,20,2024-11-22T07:18:01Z
4-AUI7MS9z4,47869,2275,8,0,22,2024-11-22T07:00:02Z
Bi2LY1KBaKE,362628,19579,175,0,20,2024-11-22T07:00:04Z
6ceZjJN-wjI,12856,747,6,0,20,2024-11-22T07:00:03Z
1fkyRNApX3Y,2229,91,1,0,22,2024-11-22T07:00:00Z
2TUQsaqDFxM,251288,1191,0,0,25,2024-11-22T06:49:19Z
DblQjYc16mo,330505,4722,166,0,22,2024-11-22T06:43:30Z
gorF2uAFNjA,4865,561,22,0,17,2024-11-22T06:42:57Z
